Section,Panel Index,Panel Name,Query Index,Display Name,Metric,Query
"Request Traffic & Health: Client → Router",1,"Volume of Requests Per Status Code",0,"By Http response status_code","http.server.request.duration","histogram_sum(sum by (http_status_code) (increase({otel_metric_name = ""http.server.request.duration"", otel_metric_type = ""histogram""}[2m])))"
"Request Traffic & Health: Client → Router",2,"Throughput: Requests Per Second",0,"Total","http.server.request.duration","histogram_sum(sum(increase({otel_metric_name = ""http.server.request.duration"", otel_metric_type = ""histogram""}[2m])))"
"Request Traffic & Health: Client → Router",5,"Error Rate Percent",0,"Total","http.server.request.duration","histogram_sum(sum(increase({otel_metric_name = ""http.server.request.duration"", otel_metric_type = ""histogram"", graphql_errors=""true""}[2m])))"
"Request Traffic & Health: Client → Router",5,"Error Rate Percent",1,"Total","http.server.request.duration","histogram_sum(sum(increase({otel_metric_name = ""http.server.request.duration"", otel_metric_type = ""histogram"", http_status_code!~""2.*"", http_status_code!~""4.*""}[2m])))"
"Request Traffic & Health: Client → Router",5,"Error Rate Percent",2,"Total","http.server.request.duration","histogram_sum(sum(increase({otel_metric_name = ""http.server.request.duration"", otel_metric_type = ""histogram""}[2m])))"
" Request Characteristics: Client → Router",8,"Request Body Size (p99 / Max)",0,"Max","http.server.request.body.size","histogram_avg(sum(rate({otel_metric_name = ""http.server.request.body.size"", otel_metric_type = ""histogram""}[2m])))"
" Request Characteristics: Client → Router",8,"Request Body Size (p99 / Max)",1,"P99","http.server.request.body.size","histogram_quantile(0.99, sum(rate({otel_metric_name = ""http.server.request.body.size"", otel_metric_type = ""histogram""}[2m])))"
"Request Performance & Latency: Client → Router",11,"Request Duration Percentiles",0,"P99","http.server.request.duration","histogram_quantile(0.99, sum(rate({otel_metric_name = ""http.server.request.duration"", otel_metric_type = ""histogram""}[2m])))"
"Request Performance & Latency: Client → Router",11,"Request Duration Percentiles",1,"P95","http.server.request.duration","histogram_quantile(0.95, sum(rate({otel_metric_name = ""http.server.request.duration"", otel_metric_type = ""histogram""}[2m])))"
"Request Performance & Latency: Client → Router",11,"Request Duration Percentiles",2,"P90","http.server.request.duration","histogram_quantile(0.9, sum(rate({otel_metric_name = ""http.server.request.duration"", otel_metric_type = ""histogram""}[2m])))"
"Request Performance & Latency: Client → Router",11,"Request Duration Percentiles",3,"Min","http.server.request.duration","histogram_avg(sum(rate({otel_metric_name = ""http.server.request.duration"", otel_metric_type = ""histogram""}[2m])))"
"Request Performance & Latency: Client → Router",11,"Request Duration Percentiles",4,"Max","http.server.request.duration","histogram_avg(sum(rate({otel_metric_name = ""http.server.request.duration"", otel_metric_type = ""histogram""}[2m])))"
"Request Traffic & Health: Router → Backend",15,"Http Requests by Status Code",0,"By status_code, name","http.client.request.duration","histogram_sum(sum by (http_status_code, subgraph_name) (increase({otel_metric_name = ""http.client.request.duration"", otel_metric_type = ""histogram"", connector_source_name!~"".*""}[2m])))"
"Request Traffic & Health: Router → Backend",15,"Http Requests by Status Code",1,"By status_code, name, name","http.client.request.duration","histogram_sum(sum by (http_status_code, subgraph_name, connector_source_name) (increase({otel_metric_name = ""http.client.request.duration"", otel_metric_type = ""histogram"", connector_source_name=~"".*""}[2m])))"
"Request Traffic & Health: Router → Backend",16,"Throughput (Requests per Second)",0,"By Subgraph name","http.client.request.duration","sum by (subgraph_name) (rate({otel_metric_name = ""http.client.request.duration"", otel_metric_type = ""histogram"", connector_source_name!~"".*""}[2m]))"
"Request Traffic & Health: Router → Backend",16,"Throughput (Requests per Second)",1,"By name, name","http.client.request.duration","sum by (subgraph_name, connector_source_name) (rate({otel_metric_name = ""http.client.request.duration"", otel_metric_type = ""histogram"", connector_source_name=~"".*""}[2m]))"
"Request Traffic & Health: Router → Backend",19,"Non-2xx Responses",0,"By name, status_code","http.client.request.duration","histogram_sum(sum by (subgraph_name, http_status_code) (increase({otel_metric_name = ""http.client.request.duration"", otel_metric_type = ""histogram"", subgraph_name=~"".*"", http_status_code!~""2.*"", connector_source_name!~"".*""}[2m])))"
"Request Traffic & Health: Router → Backend",19,"Non-2xx Responses",1,"By name, status_code, name","http.client.request.duration","histogram_sum(sum by (subgraph_name, http_status_code, connector_source_name) (increase({otel_metric_name = ""http.client.request.duration"", otel_metric_type = ""histogram"", subgraph_name=~"".*"", http_status_code!~""2.*"", connector_source_name=~"".*""}[2m])))"
" Request Characteristics: Router → Backend",21,"Response Body Size",0,"By Subgraph name","http.client.response.body.size","histogram_avg(sum by (subgraph_name) (rate({otel_metric_name = ""http.client.response.body.size"", otel_metric_type = ""histogram"", connector_source_name!~"".*""}[2m])))"
" Request Characteristics: Router → Backend",21,"Response Body Size",1,"By name, name","http.client.response.body.size","histogram_avg(sum by (subgraph_name, connector_source_name) (rate({otel_metric_name = ""http.client.response.body.size"", otel_metric_type = ""histogram"", connector_source_name=~"".*""}[2m])))"
"Request Performance & Latency: Router → Backend",24,"P95 Latency by Subgraph",0,"By Subgraph name","http.client.request.duration","histogram_quantile(0.95, sum by (subgraph_name, le) (rate({otel_metric_name = ""http.client.request.duration"", otel_metric_type = ""histogram"", connector_source_name!~"".*""}[2m])))"
"Request Performance & Latency: Router → Backend",24,"P95 Latency by Subgraph",1,"By name, name","http.client.request.duration","histogram_quantile(0.95, sum by (subgraph_name, connector_source_name, le) (rate({otel_metric_name = ""http.client.request.duration"", otel_metric_type = ""histogram"", connector_source_name=~"".*""}[2m])))"
